episode_index,episode_return,terminated_reason,closure_mode,closed_loop,fitness_reward,average_gtc,std_gtc,route_node_count,route_path_node_ids
187,-3117.639670872455,closed_loop,forced,True,-3116.639678073435,1370.425984026391,,3,"[2323, 842, 2323]"
188,-143.5553741455078,closed_loop,forced,True,-142.55536993628508,98.98037045511026,,3,"[2460, 2451, 2460]"
189,-35164.59375,closed_loop,forced,True,-35163.59374681822,35163.59374681822,,3,"[2699, 2702, 2699]"
190,-190.38194274902344,closed_loop,forced,True,-189.38193836203828,141.25530592054673,,3,"[3629, 3142, 3629]"
191,-95.51332092285156,closed_loop,forced,True,-94.5133236187713,94.5133236187713,,3,"[1409, 1405, 1409]"
192,-10797.41796875,closed_loop,forced,True,-10796.41810051211,6947.971709347202,,3,"[2434, 2433, 2434]"
193,-8971.113288409982,closed_loop,forced,True,-8970.113729470413,3784.72884289827,,3,"[692, 696, 692]"
194,-18984.793033339956,closed_loop,forced,True,-18983.79344982563,9570.318544085816,,3,"[2671, 2670, 2671]"
195,-9034.484386793909,closed_loop,forced,True,-9033.484789587677,5334.817066984212,,3,"[608, 606, 608]"
196,-6485.431732195437,closed_loop,forced,True,-6480.773913985906,2940.0006488894965,,7,"[1284, 486, 484, 487, 484, 487, 1284]"
197,-11751.540069268423,closed_loop,forced,True,-11747.540155949118,5968.091104227969,,3,"[2678, 2681, 2678]"
198,-116.11985778808594,closed_loop,forced,True,-115.11985801836917,115.11985801836917,,3,"[2806, 2364, 2806]"
199,-6588.326171875,closed_loop,forced,True,-6587.325989798493,3401.8777931486875,,3,"[321, 322, 321]"
200,-3361.0998612244657,closed_loop,forced,True,-3360.0998560218404,1506.4330753808135,,3,"[2206, 2207, 2206]"
201,-247.7748565172369,closed_loop,forced,True,-246.77467900434766,177.05629388674794,,3,"[913, 3507, 913]"
202,-4891.37841796875,closed_loop,forced,True,-4890.378255868339,2528.891615152025,,3,"[2219, 2499, 2219]"
203,-8906.50390625,closed_loop,forced,True,-8905.50359016891,3777.5397035882875,,3,"[2803, 2800, 2803]"
204,-18697.457073094272,closed_loop,forced,True,-18692.4573848372,10913.168025818122,,3,"[1399, 1722, 1399]"
205,-208.0704098847782,closed_loop,forced,True,-206.07023864765495,206.07023864765495,,3,"[3109, 3111, 3109]"
206,-19145.212890625,closed_loop,forced,True,-19144.213766491663,12773.426629818257,,3,"[844, 843, 844]"
207,-6577.75244140625,closed_loop,forced,True,-6576.752270740529,6576.752270740529,,3,"[321, 322, 321]"
208,-8491.064909017041,closed_loop,forced,True,-8488.564648303676,5956.786233146105,,5,"[1690, 1688, 1686, 1688, 1690]"
209,-24293.79296875,closed_loop,forced,True,-24292.793200909608,16844.174538598654,,3,"[2912, 2909, 2912]"
210,-17463.054700126922,closed_loop,forced,True,-17461.054674747946,10455.473452138829,,3,"[2863, 2862, 2863]"
211,-15874.625987850599,closed_loop,forced,True,-15870.625589543164,7963.84017584185,,3,"[2226, 99, 2226]"
212,-8239.603660367662,closed_loop,forced,True,-8238.60389243374,4183.606365091036,,3,"[2664, 2663, 2664]"
213,-227.11388092051493,closed_loop,forced,True,-225.1134358626898,216.73603237469243,,3,"[2609, 2605, 2609]"
214,-4875.166015625,closed_loop,forced,True,-4874.166061430997,2147.688104685273,,3,"[1721, 682, 1721]"
215,-12289.125988479203,closed_loop,forced,True,-12288.125645782104,12288.125645782104,,3,"[2922, 2920, 2922]"
216,-16864.560555684235,closed_loop,forced,True,-16863.56067572935,16575.358471066575,,3,"[534, 11, 534]"
217,-15808.7080078125,closed_loop,forced,True,-15807.707564576376,11098.92219547928,,3,"[2618, 3099, 2618]"
218,-17035.51171875,closed_loop,forced,True,-17034.5109058479,8496.127500029337,,3,"[3077, 3078, 3077]"
219,-29872.322265625,closed_loop,forced,True,-29871.322698337215,29871.322698337215,,3,"[2183, 2181, 2183]"
220,-20855.447265625,closed_loop,forced,True,-20854.44718469098,15865.25608750675,,3,"[1514, 1468, 1514]"
221,-34057.72265625,closed_loop,forced,True,-34056.72270983464,23054.8742411578,,3,"[2647, 2648, 2647]"
222,-4672.28955078125,closed_loop,forced,True,-4671.289492988893,4671.289492988893,,3,"[1811, 1814, 1811]"
223,-10812.042978014557,closed_loop,forced,True,-10811.04326543898,5494.817466903233,,3,"[1155, 1154, 1155]"
224,-6669.3896484375,closed_loop,forced,True,-6668.389616004186,3404.043724261314,,3,"[2944, 2945, 2944]"
225,-12212.310581711245,closed_loop,forced,True,-12211.310222224765,5141.820175332919,,3,"[603, 620, 603]"
226,-14397.030589542479,closed_loop,forced,True,-14394.027729652253,13168.569264665826,,9,"[312, 313, 1885, 1887, 1379, 1887, 1885, 313, 312]"
